Content,Role,Predicted Label
"Thank you for accepting to do this interview and to tell us your life story. This project is addressed to all Montrealers who have been displaced by crimes, genocide and other violent events. It will be made available to the public—[whether this interview is also public] depends on your choice. We, uh, we know each other, but not very well. [laughter] That’s why I’ll start by asking you—I’m going to address you informally, if you don’t mind—",Interviewer,-
"Yes, no problem.",Interviewee,No Tension
"So can you tell me about yourself, your family, your grandparents?",Interviewer,-
"My name is Marie-Josée Gicali, I come from Kibuye, which is in western Rwanda. I arrived in Canada in 1998. I am married and I am a mother of two children.",Interviewee,No Tension
"Okay. [laughter] I would like to know a little bit more about your parents and your grandparents—we never talked about that, we only talked about ourselves. [laughter]",Interviewer,-
My parents—,Interviewee,No Tension
Do you know your grandparents?,Interviewer,-
My grandparents—,Interviewee,No Tension
Did you know them?,Interviewer,-
"I knew my maternal grandmother, I knew her, but she died in 1998—1988—I knew her. She was the only one—the only grandparent I knew.",Interviewee,No Tension
You didn’t know your mother’s side of the family?,Interviewer,-
"The side—I knew my paternal grandfather, but not my maternal one, he died a long time ago…, it was—it’s been a very long time. And my paternal grandparents died when my father was very young.",Interviewee,No Tension
"Okay, so the only person you knew a little was your maternal grandmother?",Interviewer,-
"Maternal, yes.",Interviewee,No Tension
What do you remember of her?,Interviewer,-
"Oh my god, she was a woman of character; she was like a man, actually.",Interviewee,Tension
[laughter],Interviewer,-
"[laughter] This woman who—she impressed me a lot, she could do anything, she was well-respected, and—oh my goodness, I was very young, but she impressed me a lot, especially her love for me, she loved me very, very much. [nods] She loved her children, her grandchildren, but because she had lost her husband when she was still relatively young, she had to shoulder all responsibilities and be the backbone of the family. And since my mother was—she was the only child to have gone to school—",Interviewee,No Tension
Oh—,Interviewer,-
"—so my mother was helping out too. Being the eldest, she helped build the house and make it nice, and all.",Interviewee,No Tension
Do you remember what was the relationship like between your mother and her mother? [laughter],Interviewer,-
"Actually, they had a very close relationship. I remember once my grandmother said: “This house, it is my daughter who built it for me.” She said a lot of nice things about my mother. She would say, “Your mother was a smart, hard-working girl.” She was very proud of her daughter, maybe because my mother had studied, I don’t know… My mother had—well, during that time it was relatively difficult—she finished her studies during the time of the Revolution and all that, and then she was forced to flee her home.",Interviewee,Tension
Your grandmother?,Interviewer,-
"No, my mother. She was forced to flee, but we didn’t talk about that very much in the family. Once my grandmother said that there were people who helped my mother hide, ku rusenge—do you know what urusenge is?",Interviewee,Tension
"Yes, yes, above the—",Interviewer,-
It’s the space above the fireplace. [explains with gestures],Interviewee,No Tension
To store—,Interviewer,-
"To store pots, ibibindi… [shows with gestures]",Interviewee,No Tension
"Yes, yes.",Interviewer,-
"Apparently, one family helped her hide, because people were after them. People were saying that girls who had gone to school were pro-Kigeli, that they had written “Long Live Kigeli” on their thighs or on their buttocks [laughter] so my mother was forced to—",Interviewee,No Tension
—to hide somewhere.,Interviewer,-
—to leave the region. I always had the impression that she wasn’t very pleased to think back to that period—my mother never told me about it.,Interviewee,Tension
And this happened when she was a young girl?,Interviewer,-
"Yes, in 1959–1960.",Interviewee,No Tension
And you were saying that your grandmother loved you very much?,Interviewer,-
"Yes. She loved me very much, she was very fond of me. [laughter]",Interviewee,No Tension
Were you at your Grandma’s often?,Interviewer,-
I lived there.,Interviewee,No Tension
Oh.,Interviewer,-
"Yeah, I was just going to talk about that, since I am telling you about my life. I lived there for three years.",Interviewee,No Tension
How old were you?,Interviewer,-
Between the ages of 12 and 15. I was like a refugee. [laughter] I was tying to find a way to go to school—you know what the conditions were—,Interviewee,No Tension
"Yes, yes, yes.",Interviewer,-
"Tutsi children who—since we didn’t really have the chance to go to high school, my parents had to falsify [laughter] my identity and I became somebody else…",Interviewee,Tension
To be able to study.,Interviewer,-
"And I was sent to my grandparents’ house, and we had to hide that fact. We had to hide it from the people where my grandmother lived and at home we had to hide that I was returning from somewhere else. It was really something. [chuckles]",Interviewee,No Tension
We did anything we could to be able to study.,Interviewer,-
"Yes, we did. So, for three years I lived with my grandmother.",Interviewee,No Tension
"Going back to your family, to Mom and Dad’s house, what can you tell us about them both?",Interviewer,-
Both?,Interviewee,No Tension
About their relationship. About their relationship with you. What are your memories of them?,Interviewer,-
"Well, my parents…, they were both teachers…",Interviewee,Tension
Had they studied a lot?,Interviewer,-
"Not a lot but they had the chance to study to become teachers. How do I remember them? My parents were very hard-working people because they had to work; nothing was given for free, they had to work very, very hard. They were also very protective parents, they protected us enormously and spoiled us. Sometimes, the other young children, teenagers were baffled to see how overprotected we were, but later, when I grew up, I understood that my parents didn’t want their children to experience what they themselves have lived through. So they worked a lot, they protected us a lot, but they were very discreet. When I think about it, my parents didn’t talk much about politics, about what was going on in the country. No, they were quiet about it and when we were about to broach the subject, they would say, “You should keep quiet, now is not the time.”",Interviewee,No Tension
In relation to politics?,Interviewer,-
In relation to the politics at the time. My parents didn’t talk about it much.,Interviewee,No Tension
Did they show affection?,Interviewer,-
Of course. [laughter],Interviewee,No Tension
Their emotions?,Interviewer,-
"Listen, we were only three kids—",Interviewee,No Tension
That’s what I wanted to know.,Interviewer,-
"—and at that time having three children was not many. My mother suffered that—I think my mother was very sad for not having many children. It wasn’t a choice, it just happened that way. So my mother, she would have—my mother loved children so much that she would have loved to have ten kids. [laughter] There were often children who stopped by our house, who came to get something to eat, who would spend a week [with us]. There was also—we had adopted a little boy, he was one of our neighbours whose parents were very, very poor and his father had passed away. He came to our home and he stayed with us; he was killed during the genocide. That’s it, that’s all I can say. My parents were hard-working people, discreet, very discreet, and proud, very proud too. I remember, people in our region were saying that we were rich. [laughter] They believed—they thought—they would say, “Oh, they are rich!” while other families were in a situation similar to ours. There were many couples where both partners were working, but I don’t know why people were saying that we were rich. We could study without a problem, go to high school without a problem—when I say “without a problem” I mean without financial problems. Yeah.",Interviewee,Tension
What was your relationship like with your brothers and sisters? You said you are three siblings?,Interviewer,-
"Yes, there were three of us.",Interviewee,No Tension
Do you have younger or older brothers?,Interviewer,-
"I was the eldest and the other two—well, the youngest died—he was murdered during the genocide.",Interviewee,No Tension
He was a boy?,Interviewer,-
"A boy, yes.",Interviewee,No Tension
So you are the girl?,Interviewer,-
I was the only girl… [laughter],Interviewee,No Tension
"Oh, so the others, the other two were boys?",Interviewer,-
"Boys, yes.",Interviewee,No Tension
"Okay, so you were one girl and two boys.",Interviewer,-
"Yes. Well, we had a normal relationship, like any brothers-sisters relationship. We had fights sometimes and at other times there were moments of affection, of trust; but above all, we had a strong bond. Yes, a strong connection.",Interviewee,Tension
"When you think about it now, did you feel a closer connection with one brother in particular?",Interviewer,-
